title,release_date,rating,genres,url
Пункт назначения: Узы крови,15 май 2025,72%,"ужасы, детектив",https://www.themoviedb.org/movie/574475-final-destination-bloodlines?language=ru
Лило и Стич,21 май 2025,71%,"семейный, фантастика, комедия, приключения",https://www.themoviedb.org/movie/552524-lilo-stitch?language=ru
Последняя капля,06 июн 2025,80%,"триллер, драма, криминал",https://www.themoviedb.org/movie/1426776-straw?language=ru
Новичок,10 апр 2025,69%,"триллер, боевик",https://www.themoviedb.org/movie/1087891-the-amateur?language=ru
Как Приручить Дракона,13 июн 2025,80%,"боевик, семейный, фэнтези",https://www.themoviedb.org/movie/1087192-how-to-train-your-dragon?language=ru
Расхитители гробниц. Страж императора,22 сен 2023,80%,"боевик, приключения, ужасы",https://www.themoviedb.org/movie/1181039?language=ru
Crazy Lizard,27 мар 2024,0%,"боевик, триллер, ужасы",https://www.themoviedb.org/movie/1442776-kuang-bao-ju-xi?language=ru
Хищник: Убийца убийц,06 июн 2025,80%,"мультфильм, боевик, фантастика",https://www.themoviedb.org/movie/1376434-predator-killer-of-killers?language=ru
Охота на злодеев,12 фев 2024,56%,боевик,https://www.themoviedb.org/movie/1240475?language=ru
Под прикрытием,12 июн 2025,67%,"боевик, комедия, криминал",https://www.themoviedb.org/movie/1239193-deep-cover?language=ru
